turbine_id,horizon,model,n,MAE,RMSE,bias
1,1-24,prediction,744,0.20497152298313293,0.2636830619362182,0.08012948508477905
1,1-24,climatology,744,0.30231082168572143,0.3421558580233563,0.05742689967441258
1,1-24,persistence,744,0.3207504480286738,0.43698417705634435,0.021198476702508948
1,25-48,prediction,720,0.2265488116566026,0.28485252151006757,0.08497822511483212
1,25-48,climatology,720,0.30083118917842505,0.3409053177977988,0.05717114997309837
1,25-48,persistence,720,0.3626041666666667,0.4603575712032958,0.0225162037037037
2,1-24,prediction,744,0.20668102605626532,0.2665712741558747,0.08101924419215142
2,1-24,climatology,744,0.30370905572156526,0.34250510148232655,0.05768630694964205
2,1-24,persistence,744,0.325994623655914,0.44355586015209947,0.024247311827956985
2,25-48,prediction,720,0.23050470153400907,0.29102939693065394,0.08627696728644067
2,25-48,climatology,720,0.3023524995686382,0.3414005623503654,0.05759916537258113
2,25-48,persistence,720,0.36266435185185186,0.46543452997981455,0.026534722222222223
